OrderId,Product,QuantityOrdered,PriceEach,OrderDate,CityStore,Category,OrderStatus
213546,Google Phone,4,60000,6/19/2019,Los Angeles,Phone,Completed
252605,Wired Headphones,5,11.99,9/4/2019,San Francisco,Headphones,Completed
180516,Wired Headphones,15,11.99,4/16/2019,San Francisco,Headphones,Cancelled
244355,ThinkPad Laptop,5,999.99,8/7/2019,Boston,Laptop,Completed
168583,Wired Headphones,4,11.99,3/30/2019,San Francisco,Headphones,Completed
221793,Bose SoundSport Headphones,4,99.99,6/26/2019,San Francisco,Headphones,In Progress
177759,AAA Batteries (4-pack),40,2.99,4/10/2019,New York City,Batteries,Cancelled
296392,Apple Airpods Headphones,6,15000,12/4/2019,San Francisco,Headphones,Completed
220096,ThinkPad Laptop,2,999.99,6/12/2019,San Francisco,Laptop,Completed
263356,Bose SoundSport Headphones,12,99.99,10/31/2019,San Francisco,Headphones,Completed
193613,AA Batteries (4-pack),5,3.84,4/14/2019,Los Angeles,Batteries,Completed
223371,34in Ultrawide Monitor,15,379.99,7/18/2019,New York City,Monitor,Completed
301492,Google Phone,12,60000,12/22/2019,Boston,Phone,Completed
174746,USB-C Charging Cable,15,11.95,3/8/2019,Los Angeles,Cable,Completed
180903,AAA Batteries (4-pack),75,2.99,4/13/2019,Los Angeles,Batteries,Cancelled
177750,Wired Headphones,16,11.99,4/27/2019,New York City,Headphones,Completed
162295,AAA Batteries (4-pack),10,2.99,3/18/2019,Boston,Batteries,Completed
244352,AAA Batteries (4-pack),24,2.99,8/27/2019,Los Angeles,Batteries,Completed
179200,Lightning Charging Cable,2,14.95,4/3/2019,New York City,Cable,In Progress
244602,USB-C Charging Cable,15,11.95,8/13/2019,New York City,Cable,Completed
147340,27in FHD Monitor,20,149.99,1/18/2019,New York City,Monitor,Cancelled
212242,AAA Batteries (4-pack),12,2.99,6/20/2019,San Francisco,Batteries,Completed
202271,Wired Headphones,10,11.99,5/1/2019,Dallas,Headphones,Cancelled
249330,Flatscreen TV,9,30000,9/19/2019,San Francisco,TV,Cancelled
274232,27in 4K Gaming Monitor,4,389.99,10/20/2019,Dallas,Monitor,Cancelled
251682,Wired Headphones,8,11.99,9/24/2019,Los Angeles,Headphones,Completed
192172,Lightning Charging Cable,15,14.95,4/4/2019,Boston,Cable,Completed
192830,Lightning Charging Cable,4,14.95,4/30/2019,Boston,Cable,Completed
150231,iPhone,12,70000,1/29/2019,Boston,Phone,Completed
156799,AAA Batteries (4-pack),30,2.99,2/16/2019,Dallas,Batteries,In Progress
218393,Bose SoundSport Headphones,25,99.99,6/10/2019,Los Angeles,Headphones,Completed
301629,ThinkPad Laptop,4,999.99,12/22/2019,Boston,Laptop,Completed
141725,Wired Headphones,4,11.99,1/9/2019,Boston,Headphones,Completed
254820,Lightning Charging Cable,6,14.95,9/26/2019,Los Angeles,Cable,Completed
177244,USB-C Charging Cable,25,11.95,4/3/2019,Dallas,Cable,Completed
289833,Apple Airpods Headphones,15,15000,11/18/2019,Dallas,Headphones,Completed
143282,Apple Airpods Headphones,2,15000,1/26/2019,New York City,Headphones,Completed
314205,AAA Batteries (4-pack),15,2.99,12/13/2019,Boston,Batteries,Completed
157960,Lightning Charging Cable,3,14.95,2/22/2019,San Francisco,Cable,Completed
285769,Wired Headphones,2,11.99,11/3/2019,New York City,Headphones,Cancelled
308956,iPhone,3,70000,12/25/2019,San Francisco,Phone,In Progress
314726,iPhone,12,70000,12/23/2019,Los Angeles,Phone,Completed
287725,USB-C Charging Cable,10,11.95,11/10/2019,Boston,Cable,Completed
271874,USB-C Charging Cable,25,11.95,10/3/2019,New York City,Cable,Completed
196492,AAA Batteries (4-pack),60,2.99,5/17/2019,Boston,Batteries,Completed
272410,Apple Airpods Headphones,5,15000,10/16/2019,Dallas,Headphones,Cancelled
250640,27in 4K Gaming Monitor,20,389.99,9/4/2019,Boston,Monitor,Completed
266488,iPhone,2,70000,10/8/2019,Los Angeles,Phone,Completed
146292,Apple Airpods Headphones,4,15000,1/6/2019,Dallas,Headphones,In Progress
263350,Wired Headphones,12,11.99,10/23/2019,Los Angeles,Headphones,Completed
212233,Wired Headphones,25,11.99,6/15/2019,New York City,Headphones,Completed
263210,USB-C Charging Cable,8,11.95,10/1/2019,San Francisco,Cable,Cancelled
